id,title,original_title,overview,genre_ids,genre_names,adult,original_language,vote_average,popularity,vote_count,poster_url,backdrop_url
1443762,빅 페이크,Il falsario,"1970년대 로마. 화가를 꿈꾸던 청년이 도시에서 암약하던 범죄 조직에 휘말려 위조 그림을 만들게 되고, 곧 모작의 대가가 된다. 실화에서 영감을 받은 드라마 영화.","53,80,18",스릴러|범죄|드라마,False,it,6.513,83.2904,75,https://image.tmdb.org/t/p/w500/xKDcPUvQfOer3AtrOFfVjEW0LrL.jpg,https://image.tmdb.org/t/p/w780/uHavtqbnMDcwqVK9Y94ZQSWxtCw.jpg
840464,그린랜드 2,Greenland 2: Migration,,"12,53,878",모험|스릴러|SF,False,en,6.59,305.9816,134,https://image.tmdb.org/t/p/w500/dtPwBZjzqTaObjG4fKStRkBq1uu.jpg,https://image.tmdb.org/t/p/w780/tyjXlexbNZQ0ZT1KEJslQtBirqc.jpg
1317288,마티 슈프림,Marty Supreme,"1950년대 뉴욕에서 탁구 선수 마티 마우저는 누구도 인정하지 않는 꿈을 품은 청년으로, 위대함을 추구하며 지옥을 오가며 고군분투한다.",18,드라마,False,en,7.9,82.4454,340,https://image.tmdb.org/t/p/w500/firAhZA0uQvRL2slp7v3AnOj0ZX.jpg,https://image.tmdb.org/t/p/w780/qKWDHofjMHPSEOTLaixkC9ZmjTT.jpg
1131759,전지적 독자 시점,전지적 독자 시점,"10년 이상 연재된 소설이 완결된 날 소설 속 세계가 현실이 되어 버리고, 유일한 독자였던 ‘김독자’가 소설의 주인공 ‘유중혁’ 그리고 동료들과 함께 멸망한 세계에서 살아남기 위한 이야기.","28,12,14",액션|모험|판타지,False,ko,6.4,76.8269,52,https://image.tmdb.org/t/p/w500/lWQRM7IOCyJT9E5kOnoUvZNELHQ.jpg,https://image.tmdb.org/t/p/w780/tVwFrpeGPYyk75rS82benPjtK6.jpg
1236153,노 머시: 90분,Mercy,모든 진실을 데이터로만 판단하는 냉혹한 AI 재판 시스템 ‘MERCY’에 맞서 사형을 피하기 위해 90분 안에 자신의 무죄를 증명해야 하는 형사(크리스 프랫)의 숨 막히는 반격을 그린 타임리미트 스릴러,"878,28,53",SF|액션|스릴러,False,en,6.873,70.9271,71,https://image.tmdb.org/t/p/w500/fQ8Q3VAybCt6fHFJQD0kwd5azNL.jpg,https://image.tmdb.org/t/p/w780/mHC8tSRYfAKGh2jaSNQMSzGdbOW.jpg
1054867,원 배틀 애프터 어나더,One Battle After Another,"자유를 외치는 혁명가 밥 퍼거슨. 16년이 흐른 뒤, 후유증으로 모든 걸 내려놓고 무너진 삶을 살고 있다. 그에게 남은 유일한 희망은 세상 누구보다 소중한 딸 윌라뿐. 자신의 몸도, 딸과의 관계도 엉망진창인 삶을 살아가던 중 과거의 숙적이었던 스티븐 J. 록조가 딸을 납치한다. 딸을 찾기 위해서 옛 동료들의 도움이 절실하지만, 오래된 동료들은 만나기조차 쉽지 않은데…","53,80,28",스릴러|범죄|액션,False,en,7.422,70.6801,2610,https://image.tmdb.org/t/p/w500/bCg9iDSXPjVTUs1RyYH8AhmJ11d.jpg,https://image.tmdb.org/t/p/w780/si68lkhkMfIospVeLEBtl7HWKDh.jpg
1491902,ปัง,ปัง,,"28,53",액션|스릴러,False,th,6.6,66.0039,60,https://image.tmdb.org/t/p/w500/8SUzKOqe2ectvhYdSnR7Vq2F3n1.jpg,https://image.tmdb.org/t/p/w780/sW0X1265yuRHUorLKCrJDv9TJD7.jpg
1272837,28년 후: 뼈의 사원,28 Years Later: The Bone Temple,"분노 바이러스로부터 격리된 섬 홀리아일랜드로 돌아가지 않고 본토에 남기로 한 스파이크, 감염자와 공존하며 살아가는 켈슨 박사, 정체불명 인간 집단의 리더 지미가 얽히고 설키며 벌어지는 이야기","27,53,878",공포|스릴러|SF,False,en,7.241,67.2374,259,https://image.tmdb.org/t/p/w500/ubgOSHAEhv1ds8BNHodhCcI13oH.jpg,https://image.tmdb.org/t/p/w780/dT1p0K1szMAUBuE2bibouDQdNb8.jpg
1228246,프레디의 피자가게 2,Five Nights at Freddy's 2,"소문과 괴담에 휘말려 폐업한 ‘프레디의 피자가게’ 본점이 수십년 만에 다시 열리고, 그곳에 오랫동안 잠들어 있던 신형 프레디와 친구들이 눈을 뜨게 된다. 안면 인식 시스템을 가진 한층 더 기괴하고 오싹해진 신형 애니메트로닉스들은 이제 피자가게 밖으로 나와 세상을 공포에 몰아넣기 시작하는데…","27,53",공포|스릴러,False,en,6.7,64.1619,671,https://image.tmdb.org/t/p/w500/kEmPnUUXaF9hPgDMlc0eJht5JYO.jpg,https://image.tmdb.org/t/p/w780/54BOXpX2ieTXMDzHymdDMnUIzYG.jpg
1167307,David,David,,"16,10751,18",애니메이션|가족|드라마,False,en,7.8,95.0521,28,https://image.tmdb.org/t/p/w500/7lFG1WrCwAxBfyGK8ahlBVzXno7.jpg,https://image.tmdb.org/t/p/w780/d10VuEOMroY7ngQi2FUhJH72k0e.jpg
680493,리턴 투 사일런트 힐,Return to Silent Hill,"침묵이 지배하는 안개 속 도시, 잃어버린 사랑을 찾기 위한 잔혹한 여정이 다시 시작된다. 기억 속에서 지워지지 않는 옛 연인 메리를 되찾기 위해 제임스는 정체 모를 편지에 이끌려 다시 사일런트 힐로 향한다. 하지만 그를 기다리고 있는 것은 낯익으면서도 낯선 공포, 그리고 기괴하게 뒤틀린 괴물들이 장악한 심연의 세계다. 안개 너머에 숨겨진 진실에 다가갈수록 제임스는 자신의 어두운 내면과 마주하게 되고, 현실과 악몽의 경계는 점점 무너지기 시작한다. 과연 그는 이 지옥 같은 도시에서 메리를 구해내고 무사히 탈출할 수 있을 것인가, 아니면 영원히 안개 속에 갇히게 될 것인가.","27,9648",공포|미스터리,False,en,5.282,56.8589,55,https://image.tmdb.org/t/p/w500/fqAGFN2K2kDL0EHxvJaXzaMUkkt.jpg,https://image.tmdb.org/t/p/w780/zWe8ynGlGH3KP896jHCemxnOvCo.jpg
1575337,초(超) 가구야 공주!,超かぐや姫！,"달에서 도망쳐 온, 자유분방한 가구야가 이로하의 집에 살게 되면서, 이로하의 삶은 궤도를 이탈할 지경이다. 게다가 가구야는 이로하에게 가상 세계에서 함께 무대에 서자고 설득한다.","16,14,10402,878",애니메이션|판타지|음악|SF,False,ja,8.4,54.977,16,https://image.tmdb.org/t/p/w500/4Gh56xcxDoWWPuTclaKpKrZ3J4M.jpg,https://image.tmdb.org/t/p/w780/tL9IWUQ14XTQf7FWIkH9ArabJJo.jpg
1206008,엘라 맥케이,Ella McCay,젊은 여성이 골치 아픈 가족과 일에 대한 열정 사이에서 애쓰는 이야기를 그린다. 이 코미디는 사랑하지만 벅찬 이들 속에서 살아남는 법을 담았다.,"35,18",코미디|드라마,False,en,5.4,70.7747,30,https://image.tmdb.org/t/p/w500/iQCtK477yqp6xnHHrQG2P0lXoow.jpg,https://image.tmdb.org/t/p/w780/9cd1zsxcOAcBW01WDOWz8EODTS0.jpg
1198994,직장상사 길들이기,Send Help,"직장에서 인정받지 못해 괴로워하는 린다는 죽일 만큼 미운 상사 브래들리와 출장 도중 비행기 추락 사고로 인해 무인도에 단둘이 고립된다. 와이파이도, 인사팀도, 직급도 없는 야생의 섬에서 이들의 권력관계는 완전히 뒤집히게 되는데…!","27,53,35",공포|스릴러|코미디,False,en,7.2,67.083,18,https://image.tmdb.org/t/p/w500/c4df7ExGyVUWAWOwNB5jy4EFHsx.jpg,https://image.tmdb.org/t/p/w780/hO2jx1H3XafR7Y8QbFgVH1sHTY9.jpg
1196067,Worldbreaker,Worldbreaker,,"878,28,27",SF|액션|공포,False,en,6.266,50.0654,64,https://image.tmdb.org/t/p/w500/7K8w6mdrJp0oaSoKWGyjSZ4Zv2z.jpg,https://image.tmdb.org/t/p/w780/4mZ06VpfpAPuaUPn1SEV0brbbxe.jpg
798645,더 러닝 맨,The Running Man,실직한 가장 ‘벤 리처즈’가 거액의 상금을 위해 30일간 잔인한 추격자들로부터 살아남아야 하는 글로벌 서바이벌 프로그램에 참가하며 펼쳐지는 추격 액션 블록버스터,"28,53,878",액션|스릴러|SF,False,en,6.797,49.2348,1073,https://image.tmdb.org/t/p/w500/klfSEbFOquMFjBQJ5uKAfp0rrsK.jpg,https://image.tmdb.org/t/p/w780/aHj7d7wSLqrg5cjAcgHhiGr97Ih.jpg
1220564,시크릿 에이전트,O Agente Secreto,"1977년 브라질의 군사 독재 시절, 고향 헤시피로 돌아온 마르셀로는 실종된 어머니의 기록을 찾고 아들과 재회하려 하지만 도시는 감시와 망각의 거미줄처럼 얽혀 있다.","80,18,53",범죄|드라마|스릴러,False,pt,7.7,44.6777,227,https://image.tmdb.org/t/p/w500/cjHczbkm4j9Dccgf2RzyjZh8kYT.jpg,https://image.tmdb.org/t/p/w780/b4uXVgLCOxx2c9VbyppdSD9G3Xq.jpg
1223601,시수: 복수의 길,Sisu 2,"제2차 세계대전이 끝난 직후, 전설적인 핀란드 저격수였던 Aatami Korpi는 고향 집으로 돌아오지만, 가족이 전쟁 중 적군에게 잔인하게 살해된 후다. 그는 집을 해체해 트럭에 싣고 가족을 기리기 위한 새로운 장소에 재건하기로 결심한다. 그런데 가족을 처참히 죽인 소련 붉은 군대 지휘관 Igor Draganov이 그의 뒤를 추적하며, 두 사람 사이에 정면대결과 전국을 가로지르는 추격전이 벌어진다.","28,10752",액션|전쟁,False,fi,7.413,44.0002,502,https://image.tmdb.org/t/p/w500/dONN7cHf2MF1nEZX2THgi89otcj.jpg,https://image.tmdb.org/t/p/w780/yCatt8lmp3oRFEcOZF8KHhsiASQ.jpg
858024,햄넷,Hamnet,"자연 속에서 자유롭게 살아온 ‘아녜스’는 마을에 새로 온 교사 ‘윌리엄 셰익스피어’와 사랑에 빠져 가정을 이룬다. 어느 날, 두 사람에게 예기치 못한 비극이 찾아오고 삶의 가장 소중한 것을 잃은 참혹한 상실의 고통 속에서 두 사람은 각자의 방식으로 상처와 비극을 극복하게 되는데…","18,10749,36",드라마|로맨스|역사,False,en,7.844,47.9796,154,https://image.tmdb.org/t/p/w500/96ikpEmn7Uxct77x6kTIUgnldh2.jpg,https://image.tmdb.org/t/p/w780/uRDu9DiTVf97z5sj6qesmyQpYji.jpg
1315303,프라이메이트,Primate,광견병에 걸린 침팬지 '벤'에게서 벗어나 생존하려는 주인공 '루시'와 친구들의 이야기를 그린 공포 영화,"27,53",공포|스릴러,False,en,6.629,45.4786,62,https://image.tmdb.org/t/p/w500/4Q5IClJJyKUHKNLywQaqwcK00OF.jpg,https://image.tmdb.org/t/p/w780/isx3gXPkrt37ERtW47hhTdJD0Pg.jpg
1208348,렌탈 패밀리: 가족을 빌려드립니다,Rental Family,"일본에 살고 있는 무명 미국인 배우 필립이 역할 대행업체에 취직해 타인의 인생을 연기하며, 삶의 의미와 소속감을 되찾아가는 따뜻한 여정을 그린 이야기","35,18",코미디|드라마,False,en,7.808,42.2594,271,https://image.tmdb.org/t/p/w500/9hcvCoM2tUcYfZU7XDD7UW7DFBO.jpg,https://image.tmdb.org/t/p/w780/ufuabtiOem0kHeYz6b8x8MjBb2L.jpg
